,Date,cn,de,fi,gb,ru,se
46,2017-04-16,,Local holiday,National holiday,Local observance,Observance,National holiday
47,2017-04-17,,National holiday,National holiday,14.0,,National holiday
48,2017-04-18,,,,Hebrew,,
49,2017-04-23,,Observance,,Season,,
50,2017-04-24,,,,15.0,Muslim,
51,2017-04-27,,Observance,,,,
52,2017-04-29,National holiday,,,,,
53,2017-04-30,National holiday,Observance,,,,Observance
54,2017-05-01,National holiday,National holiday,National holiday,National holiday,National holiday,National holiday
55,2017-05-02,,,,Hebrew,,
56,2017-05-04,Observance,,,,,
57,2017-05-05,,Observance,,,,
58,2017-05-08,,,,,National holiday,
59,2017-05-09,,,,,National holiday,
60,2017-05-14,,Observance,Observance,Hebrew,,
61,2017-05-23,,Observance,,,,
62,2017-05-25,,Observance,National holiday,Christian,,National holiday
63,2017-05-27,Weekend,,,Muslim,Muslim,
64,2017-05-28,National holiday,,,,,Observance
65,2017-05-29,National holiday,,,National holiday,,
66,2017-05-30,National holiday,,,,,
67,2017-05-31,,,,Hebrew,,
68,2017-06-01,Observance,Observance,,,,
69,2017-06-03,,Observance,,,,Observance
70,2017-06-04,,Local holiday,National holiday,Christian,,National holiday
71,2017-06-05,,National holiday,,Christian,,
72,2017-06-06,,Observance,,,,National holiday
73,2017-06-10,,,,Observance,,
74,2017-06-11,,,,Christian,,
75,2017-06-12,,,,,National holiday,
76,2017-06-15,,15.0,,Christian,,
77,2017-06-16,,Observance,,,,
78,2017-06-18,,Observance,,Observance,,
79,2017-06-21,,,,Muslim,Muslim,
80,2017-06-21T05:24:08+01:00,,,,Season,,
81,2017-06-21T06:24:08+02:00,,Season,,,,Season
82,2017-06-21T07:24:08+03:00,,,Season,,Season,
83,2017-06-21T12:24:08+08:00,Season,,,,,
84,2017-06-23,,,Observance,,,Observance
85,2017-06-24,,Observance,National holiday,,,National holiday
86,2017-06-26,,,,Muslim,Muslim,
87,2017-07-01,Observance,,,,,
88,2017-07-11,Observance,,,,,
89,2017-07-12,,,,Local holiday,,
90,2017-08-01,Observance,,,Hebrew,,
91,2017-08-07,,,,15.0,,
92,2017-08-08,,Local holiday,,,,
93,2017-08-14,,,,Hinduism,,
94,2017-08-15,,Christian,,Christian,,
95,2017-08-25,,,,Hinduism,,
96,2017-08-28,Observance,,,Common local holiday,,
97,2017-09-01,,Observance,,,Observance,
98,2017-09-02,,Observance,,Muslim,Muslim,
99,2017-09-05,Observance,,,,,
100,2017-09-09,,Observance,,,,
101,2017-09-10,Observance,Observance,,,,
102,2017-09-16,,Observance,,,,
103,2017-09-20,,Observance,,Hinduism,,
104,2017-09-21,,,,Hebrew,,
105,2017-09-22,,,,Muslim,Muslim,
106,2017-09-22T21:01:40+01:00,,,,Season,,
107,2017-09-22T22:01:40+02:00,,Season,,,,Season
108,2017-09-22T23:01:40+03:00,,,Season,,Season,
109,2017-09-23T04:01:40+08:00,Season,,,,,
110,2017-09-30,Weekend,,,21.0,,
111,2017-10-01,National holiday,Observance,,Muslim,,
112,2017-10-02,National holiday,,,,,
113,2017-10-03,National holiday,National holiday,,,,
114,2017-10-04,Common local holiday,,,Christian,,
115,2017-10-05,Common local holiday,,,Hebrew,,
116,2017-10-06,Common local holiday,,,,,
117,2017-10-07,Common local holiday,,,,,
118,2017-10-08,Common local holiday,,,,,
119,2017-10-11,,,,Hebrew,,
120,2017-10-12,,,,Hebrew,,
121,2017-10-13,,,,Hebrew,,
122,2017-10-19,,,,Observance,,
123,2017-10-24,,Observance,,,,
124,2017-10-28,Observance,,,,,
125,2017-10-29T02:00:00+01:00,,,,Clock change/Daylight Saving Time,,
126,2017-10-29T03:00:00+02:00,,Clock change/Daylight Saving Time,,,,Clock change/Daylight Saving Time
127,2017-10-30,,Observance,,,,
128,2017-10-31,,Observance,,Observance,,
129,2017-11-01,,Christian,,Christian,,
130,2017-11-02,,,,Christian,,
131,2017-11-03,,,,,,Observance
132,2017-11-04,,,National holiday,,National holiday,National holiday
133,2017-11-05,,,,Observance,,
134,2017-11-06,,,,,National holiday,
135,2017-11-08,Observance,,,,,
136,2017-11-09,,Season,,,,
137,2017-11-11,,Observance,,,,
138,2017-11-12,,,Observance,Observance,,Observance
139,2017-11-19,,Observance,,,,
140,2017-11-22,,Christian,,,,
141,2017-11-26,,Observance,,,,
142,2017-11-30,,,,Local holiday,,
143,2017-12-01,,,,Muslim,Muslim,
144,2017-12-03,,Observance,,Observance,,Observance
145,2017-12-06,,Observance,National holiday,,,
146,2017-12-08,,,,Christian,,
147,2017-12-10,,Observance,,,,Observance
148,2017-12-13,,,,Hebrew,,
149,2017-12-17,,Observance,,,,Observance
150,2017-12-19,,Observance,,,,
151,2017-12-20,,,,Hebrew,,
152,2017-12-21T16:27:56+00:00,,,,Season,,
153,2017-12-21T17:27:56+01:00,,Season,,,,Season
154,2017-12-21T18:27:56+02:00,,,Season,,,
155,2017-12-21T19:27:56+03:00,,,,,Season,
156,2017-12-22T00:27:56+08:00,Season,,,,,
157,2017-12-24,,Season,Observance,Observance,,Season
158,2017-12-25,Observance,National holiday,National holiday,National holiday,,National holiday
159,2017-12-26,,National holiday,National holiday,National holiday,,National holiday
160,2017-12-31,,Observance,Observance,Observance,,Observance
161,2018-01-01,National holiday,National holiday,National holiday,National holiday,National holiday,National holiday
162,2018-01-02,Common local holiday,,,Local holiday,National holiday,
163,2018-01-03,,,,,National holiday,
164,2018-01-04,,,,,National holiday,
165,2018-01-05,,,,,National holiday,Observance
166,2018-01-06,,Christian,National holiday,Christian,,National holiday
167,2018-01-07,,,,Orthodox,National holiday,
168,2018-01-08,,,,,National holiday,
169,2018-01-14,,,,Orthodox,Observance,
170,2018-01-22,,Observance,,,,
